27-October-2016,-4.5,-1
28-October-2016,3.5,1
30-October-2016,-5.8,-1
1-November-2016,-2.7,-1
2-November-2016,-17.95,-1
3-November-2016,1.4,1
4-November-2016,-15.5,-1
7-November-2016,-9.4,-1
8-November-2016,-0.7,-1
9-November-2016,65.55,1
10-November-2016,-6.55,-1
11-November-2016,1.4,1
15-November-2016,-14.2,-1
16-November-2016,-3.45,-1
17-November-2016,-5.7,-1
18-November-2016,4.35,1
21-November-2016,2.9,1
22-November-2016,6.85,1
23-November-2016,2.25,1
24-November-2016,-16.25,-1
25-November-2016,2.65,1
28-November-2016,-8.35,-1
29-November-2016,8.75,1
30-November-2016,-4.25,-1
1-December-2016,1.05,1
2-December-2016,0.3,1
5-December-2016,0.1,1
6-December-2016,8.35,1
7-December-2016,-7.3,-1
8-December-2016,16.45,1
9-December-2016,5.9,1
12-December-2016,1.25,1
13-December-2016,7.9,1
14-December-2016,20.5,1
15-December-2016,-2.55,-1
16-December-2016,7.55,1
19-December-2016,4.15,1
20-December-2016,1.8,1
21-December-2016,2.45,1
22-December-2016,-5.95,-1
23-December-2016,7.55,1
26-December-2016,-8.5,-1
27-December-2016,17.3,1
28-December-2016,-15.8,-1
29-December-2016,13.3,1
30-December-2016,13.3,1
2-January-2017,1.75,1
3-January-2017,6.5,1
4-January-2017,-23.2,-1
5-January-2017,4.4,1
6-January-2017,-2.6,-1
9-January-2017,-1.9,-1
10-January-2017,8.1,1
11-January-2017,-10.25,-1
12-January-2017,-5.3,-1
13-January-2017,4.45,1
16-January-2017,-14.4,-1
17-January-2017,-26.9,-1
18-January-2017,-10.55,-1
19-January-2017,0.4,1
20-January-2017,-7.3,-1
23-January-2017,-8.05,-1
24-January-2017,7.55,1
25-January-2017,-18.3,-1
27-January-2017,5.45,1
30-January-2017,19,1
31-January-2017,-3.6,-1
1-February-2017,4,1
2-February-2017,-2.3,-1
3-February-2017,-11.05,-1
6-February-2017,4.05,1
7-February-2017,-9.6,-1
8-February-2017,-5.5,-1
9-February-2017,6.7,1
10-February-2017,-4.7,-1
13-February-2017,-5.65,-1
14-February-2017,14.9,1
15-February-2017,-2.1,-1
16-February-2017,12.95,1
17-February-2017,9.35,1
20-February-2017,3.7,1
21-February-2017,15.95,1
22-February-2017,115.6,1
23-February-2017,-31.3,-1
27-February-2017,51.6,1
28-February-2017,0.45,1
1-March-2017,-7.85,-1
2-March-2017,-2.75,-1
3-March-2017,21.45,1
