Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Delta,Label
31-August-2018,1273.8,1273.8,1237.05,1240.95,1251.35039921372,1284024,14772,1606763945,900813,70.16,36.75,-32.85,-32.85,-1
30-August-2018,1300,1300,1270.45,1274.1,1278.05637983019,1802595,11065,2303818040,1472726,81.7,29.55,-25.9,-25.9,-1
29-August-2018,1319,1328.75,1290.3,1294.45,1309.21105173589,570571,15437,746997859,137151,24.04,38.45,-24.55,-24.55,-1
28-August-2018,1298.75,1323,1295.5,1318.2,1310.94401901241,484736,12158,635461760,115900,23.91,27.5,19.45,19.45,1
27-August-2018,1280.05,1296.2,1280,1291.6,1290.46695829426,288953,7343,372884299,68974,23.87,16.2,11.55,11.55,1
24-August-2018,1265,1280,1260.9,1278.05,1272.66242391727,378371,8861,481538554,90844,24.01,19.1,13.05,13.05,1
23-August-2018,1244,1273.55,1238.6,1269.7,1260.23539847799,364123,10008,458880694,103036,28.3,34.95,25.7,25.7,1
21-August-2018,1236,1251,1227.15,1246.5,1242.4127198127,427978,8444,531725311,169337,39.57,23.85,10.5,10.5,1
20-August-2018,1206.5,1238.05,1206.5,1234.9,1225.51972714948,561333,11226,687924665,232771,41.47,31.55,28.4,28.4,1
17-August-2018,1206,1215,1200.25,1203.45,1208.40591928533,190969,4483,230768070,44000,23.04,14.75,-2.55,-2.55,-1
16-August-2018,1206.4,1215.7,1196.25,1200.2,1204.83167802982,323707,6759,390012448,93709,28.95,19.45,-6.2,-6.2,-1
14-August-2018,1187.2,1216.4,1185.25,1210.95,1203.72643001115,313057,7748,376834985,80767,25.8,31.15,23.75,23.75,1
13-August-2018,1203,1203,1183.05,1187.15,1191.40245599746,223453,5606,266222453,59977,26.84,19.95,-15.85,-15.85,-1
10-August-2018,1215,1215.3,1201.95,1204,1207.81016727256,171098,4431,206653904,52765,30.84,13.35,-11,-11,-1
9-August-2018,1220,1231.5,1212,1217.95,1222.69554918599,528555,9232,646261846,295581,55.92,19.5,-2.05,-2.05,-1
8-August-2018,1188.4,1222,1186,1217.25,1205.05610808389,477703,13587,575658918,142777,29.89,36,28.85,28.85,1
7-August-2018,1196,1200,1178.3,1183.55,1185.55224845713,210322,4989,249347720,60982,28.99,21.7,-12.45,-12.45,-1
6-August-2018,1180,1196,1174.85,1191.5,1187.69962266686,267933,5794,318223923,60281,22.5,21.15,11.5,11.5,1
3-August-2018,1175,1183.85,1169.5,1176.75,1176.31945440721,278816,6056,327976685,75712,27.15,14.35,1.75,1.75,1
2-August-2018,1192.35,1194.5,1166,1168.35,1173.96217012764,280942,8169,329815280,62971,22.41,28.5,-24,-24,-1
1-August-2018,1195,1202.95,1185.95,1191.15,1193.34451701346,510625,11470,609351544,117387,22.99,17,-3.85,-3.85,-1
31-July-2018,1150,1190,1145,1185.85,1174.09610629692,1165189,15180,1368043868,642377,55.13,45,35.85,35.85,1
30-July-2018,1136,1157.55,1126.6,1149.7,1143.08859845426,713184,16271,815232499,166693,23.37,30.95,13.7,13.7,1
27-July-2018,1117.2,1137,1112.8,1129.6,1127.60731713314,447361,9677,504447537,132729,29.67,24.2,12.4,12.4,1
26-July-2018,1113,1121,1107.7,1110.35,1114.83221881736,154028,4490,171715377,60309,39.15,13.3,-2.65,-2.65,-1
25-July-2018,1112.25,1122.3,1104.55,1114.05,1116.13870797328,265010,5802,295787919,102790,38.79,17.75,1.8,1.8,1
24-July-2018,1122,1126.1,1107.65,1110.55,1115.06600718423,305391,5790,340531123,135804,44.47,18.45,-11.45,-11.45,-1
23-July-2018,1129.7,1130,1114,1120.15,1119.62888942892,205750,4704,230363644,69915,33.98,16,-9.55,-9.55,-1
20-July-2018,1110.5,1138.25,1110.5,1128.55,1125.24346856878,446801,12094,502759907,109831,24.58,27.75,18.05,18.05,1
19-July-2018,1095,1114,1086.8,1103.9,1094.77315323832,778552,9443,852337828,475172,61.03,27.2,8.9,8.9,1
18-July-2018,1097.9,1104.5,1079,1090.55,1091.01223289889,278593,6239,303948371,68116,24.45,25.5,-7.35,-7.35,-1
17-July-2018,1079,1095,1069.15,1091.7,1085.88569096088,287860,7215,312583055,65358,22.7,25.85,12.7,12.7,1
16-July-2018,1098.05,1108.5,1073,1076.15,1081.98607042225,446819,10297,483451934,92236,20.64,35.5,-21.9,-21.9,-1
13-July-2018,1082.9,1107.25,1080.9,1096.75,1097.38922172123,874481,18901,959646024,151061,17.27,26.35,13.85,13.85,1
12-July-2018,1043.15,1098.8,1043.15,1082.2,1080.07125387083,1370508,31087,1480246294,354404,25.86,55.65,39.05,39.05,1
11-July-2018,1025,1038.7,1017,1036.35,1029.92722108113,405557,10212,417694194,94709,23.35,21.7,11.35,11.35,1
10-July-2018,1001.5,1028.5,1001.5,1025.75,1018.8825847975,610926,15491,622461862,284106,46.5,27,24.25,24.25,1
9-July-2018,985.5,998.7,983.3,995.65,992.302394762693,288087,7756,285869420,96762,33.59,15.4,10.15,10.15,1
6-July-2018,965.9,982.45,964.8,976.5,976.977776325056,336533,7663,328785262,78509,23.33,17.65,10.6,10.6,1
5-July-2018,998.7,1008.5,960.1,965,986.866420584707,1290356,25652,1273409007,339478,26.31,48.4,-33.7,-33.7,-1
4-July-2018,974.8,992,972,990.05,983.211169475992,337151,6750,331490629,100560,29.83,20,15.25,15.25,1
3-July-2018,964,978.25,961,971.6,972.20405231723,224859,4442,218608831,48814,21.71,17.25,7.6,7.6,1
2-July-2018,973,973.5,957.55,961.05,962.492354930794,208435,4397,200617094,44981,21.58,15.95,-11.95,-11.95,-1
29-June-2018,952,977.75,949.7,972.95,966.319314186581,325103,8350,314153308,91440,28.13,28.05,20.95,20.95,1
28-June-2018,965.05,969,941.35,944.7,953.806090204973,284818,6887,271661143,102753,36.08,27.65,-20.35,-20.35,-1
27-June-2018,980,985.75,960.5,965.3,972.718386065583,354116,8206,344455144,126179,35.63,25.25,-14.7,-14.7,-1
26-June-2018,1003.6,1005.05,975.5,978.7,986.14509054435,368880,9260,363769201,133718,36.25,29.55,-24.9,-24.9,-1
25-June-2018,1017,1017,1001.95,1003.55,1008.54841065129,210904,3934,212706894,59013,27.98,15.05,-13.45,-13.45,-1
22-June-2018,1030,1030,1008.6,1012.3,1011.99475076502,6655065,8066,6734890846,6219923,93.46,21.4,-17.7,-17.7,-1
21-June-2018,1023,1035.8,1020.4,1032.35,1030.33216078932,444333,9542,457810580,147825,33.27,15.4,9.35,9.35,1
20-June-2018,996.5,1021.75,996,1019.95,1015.9036552062,340911,6983,346332731,97011,28.46,25.75,23.45,23.45,1
